wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-288-0.wav|Being sober also tends to help with precision. Anyway, we performed a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-288-1.wav|Being sober also tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-288-2.wav|Being sober also tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-3-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-288-3.wav|Being sober also tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't learn much, though.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-289.wav|Being sober also tends to help with precision. At any rate, we still have to perform the autopsy. And there's more work to do at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-289-0.wav|Being sober also tends to help with precision. At any rate, we still have to perform the autopsy. However, we did do a thorough search of the crime scene, that's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-290.wav|Being sober tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't learn much, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-290-0.wav|Being sober tends to help with precision. Anyway, we performed a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-290-1.wav|Being sober tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-290-2.wav|Being sober tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-3-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-290-3.wav|Being sober tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't learn much, though.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-291.wav|Being sober tends to help with precision. At any rate, we still have to perform the autopsy. And there's more work to do at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-291-0.wav|We still have to perform the autopsy, though. However, we did a thorough search of the crime scene.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-292.wav|Moving on to the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-294.wav|However, you found that the hanged man wasn't just hanged, he was also shot. That was some excellent detective work.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-297.wav|Just don't get carried away. At any rate, your shot enabled us to perform a field autopsy on the victim. We didn't learn much, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-297-0.wav|Just don't get carried away. At any rate, your shot enabled us to perform a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-297-1.wav|Just don't get carried away. At any rate, your shot enabled us to perform a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-297-2.wav|Just don't get carried away. At any rate, your shot enabled us to perform a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-298.wav|Just don't get carried away. At any rate, we still have to perform the autopsy. And there's more work to be done at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-298-0.wav|Just don't get carried away. At any rate, we still have to perform the autopsy. However, we did a thorough search of the crime scene, that's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-299.wav|In addition, we got that body down from the tree. And performed a field autopsy on the victim. We didn't learn much, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-299-0.wav|In addition, we got that body down from the tree. And we performed a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-299-1.wav|In addition, we got that body down from the tree. And we performed a field autopsy on the victim. We didn't find as much as I'd hoped, though.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-299-2.wav|In addition, we got that body down from the tree. And we performed a field autopsy on the victim. We didn't find as much as I'd hoped, though.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-300.wav|In addition, we got that body down from the tree. We still have to perform the autopsy, though. And there's more work to be done at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-300-0.wav|In addition, we got that body down from the tree. We still have to perform the autopsy, though. But at least we did a thorough search of the crime scene, that's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-304.wav|As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-306.wav|As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-307.wav|I look forward to that. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-308.wav|I look forward to that. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-309.wav|The autopsy may reveal additional portents. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-315.wav|The autopsy may reveal additional portents. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-319.wav|It's not my job to evaluate your methodology, officer. I'm just going through the facts. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-320.wav|We're both doing our best under the circumstances. Just... don't drink tonight, please. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-323.wav|We're both doing our best under the circumstances. Just... don't drink tonight, please. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-324.wav|It's not my job to evaluate your methodology, officer. I'm just going through the facts. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-327.wav|We did perform a thorough search of the crime scene, though. That's great. Now, for the interviews...
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-327-0.wav|We also performed a thorough search of the crime scene. All in all, we handled the situation very professionally. Now, for the interviews...
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-327-1.wav|We also performed a thorough search of the crime scene. That's great. Now, for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-328.wav|And there's still work to be done at the crime scene. Now, for the interviews...
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-328-0.wav|There's still work to be done at the crime scene, however. We mustn't forget that. Now, for the interviews...
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-328-1.wav|There's still work to be done at the crime scene when we go back to deal with the body. We mustn't forget that. Now, for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-330.wav|Well.... We will have to work through that.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-331.wav|Claire also helped you... how should I say? Remember your name? That's a relief.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-331-0.wav|Claire also helped you... remember your name, and is assisting you in getting your gun back. That's a relief.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-343.wav|You can look into the process of changing your name after we finish this investigation.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-344.wav|That's normal. It's best not to give it too much thought.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-347.wav|Your personhood was never in doubt, officer. Moving on...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-348.wav|I would advise against that, officer. Moving on...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-349.wav|Although I see the appeal, being thus adrift interferes with performing one's duties. Moving on...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-357.wav|Change? No, not exactly. But I think all of us at some point imagine what our lives might have been had we been something else.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-358.wav|And then we feel trapped by the names we've been given, as symbols of the intentions and expectations of others...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-359.wav|Even if I were to change my name now, upon hearing any syllable that sounds like kim in the street, I'd turn to see who was calling me.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-360.wav|But let's move on to the Wild Pines rep.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-361.wav|But let's talk about Joyce Messier for a moment.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-365.wav|Getting her to really talk to us took fantastic interpersonal skills and perseverance. Good work, detective.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-367.wav|I have a feeling Joyce knows how dangerous the situation really is. We have to get her to talk to us.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-368.wav|I have a feeling that she knows how dangerous the situation really is. We have to get her to talk to us.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-371.wav|No, we didn't. It's very important that we do it tomorrow latest.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-374.wav|I have a feeling Joyce knows how dangerous the situation really is. We have to get her to talk to us.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-378.wav|We tried to interview the Wild Pines rep, but she asked us to do something for her first, but fine,. So be it.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-379.wav|We learned some interesting things along the way. We have to get Joyce to talk to us. I have a feeling she knows how dangerous the situation really is. But we also have to be careful about what we share with her.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-381.wav|Indeed.. We have to get Messier to talk to us. I have a feeling she knows how dangerous the situation really is. But we also have to be careful about what we share with her.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-386.wav|Alright, but, and, forgive me, this has been bothering me since this morning, how have you managed to run around all day wearing only one shoe?
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-390.wav|Alright, but, and, forgive me, this has been bothering me since this morning, how have you managed to run around all day wearing no shoes?
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-394.wav|Nice shoes, by the way. I like the green. Goes with the orange.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-398.wav|Well, there seems to be a shoe that is a match to the one you're wearing further down the balcony.. Perhaps you can collect it when we're done talking.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-399.wav|Well, there seems to be at least one shoe further down the balcony.. Perhaps you can collect it when we're done talking.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-400.wav|Imagine how much faster you could run wearing a cool patent leather shoe on each foot.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-410.wav|It's impressive, to say the least. For a man your age, especially...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-411.wav|Those are some stylish shoes too, by the way. Those loafers. Must be hard to run in those like you do.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-413.wav|It's impressive, to say the least. For a man your age...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-414.wav|But I guess those sneakers are a perfect fit for running around. Good buy, that.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-419.wav|Yes. The international community's mission in Revachol, and the Moralintern more broadly.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-423.wav|Now then... we should talk about the investigation, but I also feel you're a bit hazy on the RCM. Our role here, our rights. Our jurisdiction basically.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-425.wav|I apologize, but I only brought one with me. I have exactly one cigarette every night while going over my notes.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-426.wav|Your call, detective. Again, I only have exactly one every night.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-428.wav|If you want to smoke like a rock and roll star, that's up to you. Again, I only have exactly one every night.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-437.wav|You mean this?. This isn't cool, it's an unnecessary trial of will. And unhealthy.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-438.wav|I have a cigarette every night when I go over my notes. It's something of a ritual.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-444.wav|Yes,. It's been a long and eventful day. 
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-457.wav|Be sentimental, if you like. Either way, the Moralintern leases us the right to keep the peace in this city. And they will take it away if we misuse it.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-459.wav|It's probably more honest, yes. Either way, the Moralintern leases us the right to keep the peace in this city. And they will take it away if we misuse it.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-462.wav|The Moralist International are the world's largest political organization.. You know who they are. They have been running this place after the Revolution failed.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-468.wav|What do they believe in? They are Dolorians. They believe they continue the humanist project set forth by Her Innocence Dolores Dei four centuries ago. Others say they're just technocrats.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-469.wav|Interesting question. It's a blue forget-me-not. Their motto is: Love, Compassion, Self-Discipline. I think you can gauge what they want you to think of them from that.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-477.wav|A historic figure? The author of the modern age?. You will have to look elsewhere for opinions. The subject of humanism is too abstract for me.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-483.wav|The Moralintern are a fact. I try not to have opinions on facts, until they change. And,. it doesn't look like that's about to happen.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-491.wav|Yes. I did, when I was younger. In my twenties I considered myself a moralist. A blue forget-me-not, a piece of the sky,. They're not all that bad.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-492.wav|But the years have changed that. I don't know what I believe in now..... No. I believe in the RCM. That's enough for me.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-495.wav|Do you?
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-499.wav|No. We are stooges of the world's biggest bourgeois organization, protecting the people of Revachol. That's the hand we were dealt. Without the MI, we would be common vigilantes.
